filename	state	group	fac1	fac2	fac3	fac4
t000804	ce	ce	22	5	0	1
t000805	ce	ce	28	12	1	2
t000806	ce	ce	37	9	2	3
t000807	ce	ce	26	15	8	2
t000808	ce	ce	67	12	8	3
t000809	ce	ce	46	17	9	3
t000810	ce	ce	61	24	15	10
t000811	ce	ce	26	2	1	2
t000812	ce	ce	13	6	4	2
t000813	ce	ce	76	26	15	8
t000814	ce	ce	50	8	13	7
t000815	ce	ce	41	15	11	4
t000816	ce	ce	35	22	3	0
t000817	ce	ce	10	7	1	1
t000818	ce	ce	6	7	1	0
t000819	ce	ce	12	12	3	1
t000820	ce	ce	19	16	2	1
t000821	ce	ce	15	15	3	0
t000822	ce	ce	15	9	2	0
t000823	ce	ce	17	17	1	0
t000824	ce	ce	21	15	0	4
t000825	ce	ce	21	6	2	0
t000826	ce	ce	24	38	9	3
t000827	ce	ce	27	20	26	5
t000828	ce	ce	16	2	14	8
t000829	ce	ce	13	6	19	6
t000830	ce	ce	16	6	25	3
t000831	ce	ce	12	4	21	7
t000832	ce	ce	8	3	22	0
t000833	ce	ce	38	2	60	7
t000834	ce	ce	9	9	21	0
t000835	ce	ce	16	7	12	2
t000836	ce	ce	8	2	31	1
t000837	ce	ce	15	6	23	2
t000838	ce	ce	6	1	15	0
t000839	ce	ce	22	14	31	8
t000840	ce	ce	16	7	18	1
t000841	ce	ce	8	3	24	1
t000842	ce	ce	21	4	18	-1
t000843	ce	ce	7	8	14	1
t000844	ce	ce	6	13	5	2
t000845	ce	ce	34	13	11	7
t000846	ce	ce	7	3	8	0
t000847	ce	ce	33	12	5	7
t000848	ce	ce	18	18	8	2
t000849	ce	ce	17	16	6	4
t000850	ce	ce	20	14	2	2
t000851	ce	ce	75	29	23	9
t000852	ce	ce	18	5	5	1
t000853	ce	ce	42	0	10	-1
t000854	ce	ce	80	24	30	4
t000855	ce	ce	68	15	21	-3
t000856	ce	ce	21	7	2	1
t000857	ce	ce	49	31	13	14
t000858	ce	ce	12	7	12	-1
t000859	ce	ce	28	11	4	-1
t000860	ce	ce	17	8	7	7
t000861	ce	ce	5	7	1	1
t000862	ce	ce	24	5	3	2
t000863	ce	ce	8	0	6	1
t000864	ce	ce	25	12	11	3
t000865	ce	ce	27	0	4	2
t000866	ce	ce	20	13	4	2
t000867	ce	ce	7	3	3	1
t000868	ce	ce	16	7	4	2
t000869	ce	ce	11	13	4	0
t000870	ce	ce	26	6	1	13
t000871	ce	ce	31	8	21	8
t000872	ce	ce	19	5	5	0
t000873	ce	ce	6	3	4	3
t000874	ce	ce	25	13	11	6
t000875	df	df	40	18	4	3
t000876	df	df	41	5	8	4
t000877	df	df	55	1	6	0
t000878	df	df	16	5	0	1
t000879	df	df	20	3	4	1
t000880	df	df	25	9	5	-1
t000881	df	df	19	9	14	2
t000882	df	df	15	3	2	2
t000883	df	df	33	8	6	-1
t000884	df	df	55	18	11	16
t000885	df	df	30	8	7	2
t000886	df	df	26	1	5	-2
t000887	df	df	29	3	4	1
t000888	df	df	16	1	4	3
t000889	df	df	37	-1	7	-4
t000890	df	df	42	9	9	4
t000891	df	df	10	5	5	3
t000892	df	df	52	5	12	12
t000893	df	df	46	3	8	10
t000894	df	df	33	9	6	11
t000895	df	df	22	11	5	2
t000896	df	df	13	26	4	1
t000897	df	df	21	13	7	1
t000898	df	df	35	15	9	3
t000899	df	df	14	9	4	5
t000900	df	df	11	10	3	9
t000901	df	df	35	9	4	7
t000902	df	df	20	22	5	6
t000903	df	df	18	2	2	1
t000904	df	df	35	8	8	0
t000905	df	df	22	20	5	0
t000906	df	df	19	9	5	-1
t000907	df	df	41	16	9	-2
t000908	df	df	14	6	1	1
t000909	df	df	41	7	2	1
t000910	df	df	27	0	2	1
t000911	df	df	18	9	0	3
t000912	df	df	9	0	6	3
t000913	df	df	23	6	1	2
t000914	df	df	52	6	5	2
t000915	df	df	28	6	2	0
t000916	df	df	38	4	2	2
t000917	df	df	20	3	2	2
t000918	df	df	27	3	2	-1
t000919	df	df	28	12	0	5
t000920	df	df	31	8	2	0
t000921	df	df	27	6	3	2
t000922	df	df	26	2	1	1
t000923	df	df	55	6	8	4
t000924	df	df	15	15	2	0
t000925	df	df	25	16	2	1
t000926	df	df	5	10	4	0
t000927	df	df	16	17	4	0
t000928	df	df	5	12	0	2
t000929	df	df	20	26	3	-1
t000930	df	df	22	15	3	1
t000931	df	df	24	11	9	0
t000932	df	df	29	1	4	0
t000933	df	df	15	1	1	0
t000934	df	df	14	7	1	0
t000935	df	df	14	13	1	1
t000936	df	df	12	11	3	3
t000937	df	df	29	13	6	0
t000938	df	df	21	2	3	-1
t000939	df	df	20	-1	1	0
t000940	df	df	16	3	6	4
t000941	df	df	14	11	6	1
t000942	df	df	5	5	1	0
t000943	df	df	30	13	5	2
t000944	df	df	10	2	2	1
t000945	df	df	27	10	5	0
t000946	df	df	9	14	0	0
t000947	df	df	12	17	2	1
t000948	df	df	9	18	2	4
t000949	df	df	21	8	2	0
t000950	df	df	20	12	2	0
t000951	df	df	11	31	5	0
t000952	df	df	6	16	12	0
t000953	df	df	17	6	5	8
t000954	df	df	20	8	15	9
t000955	df	df	29	19	21	2
t000956	df	df	10	2	20	2
t000957	df	df	15	4	11	0
t000958	df	df	3	6	7	1
t000959	df	df	6	1	7	-1
t000960	df	df	20	8	24	0
t000961	df	df	7	2	14	0
t000962	df	df	6	4	13	0
t000963	df	df	8	1	6	2
t000964	df	df	13	4	14	0
t000965	df	df	5	7	22	1
t000966	df	df	9	4	5	5
t000967	df	df	3	6	12	0
t000968	df	df	14	9	12	3
t000969	df	df	5	1	14	0
t000970	df	df	11	7	11	-1
t000971	df	df	11	7	12	0
t000972	df	df	21	6	20	1
t000973	df	df	7	4	5	1
t000974	df	df	3	0	11	2
t000975	df	df	14	2	13	2
t000976	df	df	9	1	13	0
t000977	df	df	9	2	9	0
t000978	es	es	11	1	2	0
t000980	es	es	37	3	4	1
t000981	es	es	11	2	4	0
t000982	es	es	21	2	3	1
t000983	es	es	18	5	0	-1
t000984	es	es	16	2	-2	-3
t000985	es	es	2	0	1	0
t000986	es	es	39	6	7	3
t000987	es	es	20	1	6	1
t000988	es	es	18	1	-2	-4
t000989	es	es	35	2	3	7
t000990	es	es	31	3	-2	-3
t000991	es	es	17	1	4	8
t000992	es	es	30	1	-1	-1
t000993	es	es	12	6	2	8
t000994	es	es	18	5	0	5
t000995	es	es	25	3	-1	2
t000996	es	es	2	0	1	0
t000997	es	es	22	1	8	0
t000998	es	es	14	1	-1	-4
t000999	es	es	20	3	4	9
t001000	es	es	14	-1	6	0
t001001	es	es	7	1	0	1
t001002	es	es	18	5	7	1
t001003	es	es	3	-1	19	3
t001004	es	es	18	-1	7	1
t001005	es	es	34	3	6	2
t001006	es	es	28	4	9	0
t001007	es	es	26	5	5	7
t001008	es	es	11	-1	4	1
t001009	es	es	16	-1	-2	-4
t001010	es	es	31	2	5	4
t001011	es	es	30	0	6	-2
t001012	es	es	24	3	0	-1
t001013	es	es	42	21	19	24
t001014	es	es	13	6	8	1
t001015	es	es	15	15	1	2
t001016	es	es	18	7	5	1
t001017	es	es	15	-1	1	9
t001018	es	es	40	18	3	6
t001019	es	es	10	12	3	5
t001020	es	es	11	16	2	1
t001021	es	es	41	22	3	6
t001022	es	es	5	8	1	10
t001023	es	es	4	10	0	6
t001024	es	es	6	8	0	5
t001025	es	es	17	21	3	1
t001026	es	es	35	22	4	0
t001027	es	es	18	22	7	1
t001028	es	es	62	7	12	9
t001029	es	es	57	3	12	5
t001030	es	es	52	11	9	20
t001031	es	es	49	11	10	5
t001032	es	es	33	6	0	0
t001033	es	es	30	11	11	-5
t001034	es	es	18	6	-1	4
t001035	es	es	19	19	3	4
t001036	es	es	9	5	1	1
t001037	es	es	29	8	4	5
t001038	es	es	25	7	1	1
t001039	es	es	23	11	0	2
t001040	es	es	59	9	3	10
t001041	es	es	7	1	-1	0
t001042	es	es	5	1	16	1
t001043	es	es	4	1	10	1
t001044	es	es	9	4	20	1
t001045	es	es	13	2	10	2
t001046	es	es	12	4	24	2
t001047	es	es	7	3	16	0
t001048	es	es	6	3	19	1
t001049	es	es	7	1	19	2
t001050	es	es	2	1	16	2
t001051	es	es	6	-3	21	2
t001052	es	es	4	1	15	0
t001053	es	es	10	-3	22	0
t001054	es	es	3	0	12	1
t001055	es	es	6	0	20	2
t001056	es	es	10	0	8	0
t001057	es	es	2	0	28	0
t001058	es	es	3	1	15	0
t001059	es	es	4	1	11	-1
t001060	es	es	21	16	5	5
t001061	es	es	4	1	12	17
t001062	es	es	22	12	8	6
t001063	es	es	9	16	4	2
t001064	es	es	15	29	5	7
t001065	es	es	13	13	4	5
t001066	es	es	18	11	3	0
t001067	es	es	11	4	1	0
t001068	es	es	19	8	6	1
t001069	es	es	9	13	3	6
t001070	es	es	5	11	3	1
t001071	es	es	9	15	3	5
t001072	es	es	4	12	1	8
t001073	es	es	3	6	3	7
t001074	es	es	9	6	7	0
t001075	es	es	12	2	6	1
t001076	es	es	18	15	7	14
t001077	es	es	20	7	11	18
t001078	es	es	25	8	15	1
t001079	es	es	10	6	3	0
t001080	es	es	19	3	0	-2
t001081	es	es	24	11	7	-1
t001082	es	es	7	4	4	1
t001083	go	go	29	17	7	3
t001084	go	go	27	1	10	2
t001085	go	go	15	0	2	1
t001086	go	go	12	7	6	-1
t001087	go	go	32	2	5	3
t001088	go	go	38	4	13	6
t001089	go	go	15	0	1	0
t001090	go	go	60	7	9	13
t001091	go	go	25	-1	0	0
t001092	go	go	40	5	17	2
t001093	go	go	16	-1	2	-3
t001094	go	go	16	2	4	2
t001095	go	go	14	0	0	1
t001096	go	go	32	14	7	9
t001097	go	go	30	7	8	5
t001098	go	go	9	-1	2	-2
t001099	go	go	7	4	3	3
t001100	go	go	19	-2	7	4
t001101	go	go	19	5	9	5
t001102	go	go	11	2	1	-2
t001103	go	go	27	5	3	5
t001104	go	go	23	0	1	3
t001105	go	go	9	-1	13	1
t001106	go	go	35	3	7	1
t001107	go	go	20	0	6	-1
t001108	go	go	32	2	9	8
t001109	go	go	33	7	9	2
t001110	go	go	11	-1	4	1
t001111	go	go	37	-2	10	0
t001112	go	go	30	2	3	1
t001113	go	go	13	1	1	0
t001114	go	go	8	0	1	0
t001115	go	go	38	4	14	-2
t001116	go	go	20	1	4	0
t001117	go	go	25	2	13	-2
t001118	go	go	34	1	19	-3
t001119	go	go	10	1	2	0
t001120	go	go	14	0	1	0
t001121	go	go	27	1	5	1
t001122	go	go	9	10	5	8
t001123	go	go	7	3	2	4
t001124	go	go	4	9	4	5
t001125	go	go	6	7	8	3
t001126	go	go	8	4	7	3
t001127	go	go	10	8	9	5
t001128	go	go	7	17	8	4
t001129	go	go	14	7	6	5
t001130	go	go	22	21	5	7
t001131	go	go	31	19	12	4
t001132	go	go	19	25	4	0
t001133	go	go	81	39	18	12
t001134	go	go	50	15	7	5
t001135	go	go	42	17	6	7
t001136	go	go	34	18	10	2
t001137	go	go	24	12	5	8
t001138	go	go	18	15	4	16
t001139	go	go	17	8	14	15
t001140	go	go	17	11	5	12
t001141	go	go	17	6	10	10
t001142	go	go	24	34	9	4
t001143	go	go	13	17	4	5
t001144	go	go	9	27	4	2
t001145	go	go	4	16	0	0
t001146	go	go	43	26	6	1
t001147	go	go	25	17	5	0
t001148	go	go	23	18	7	2
t001149	go	go	41	12	10	17
t001150	go	go	41	8	6	0
t001151	go	go	8	2	5	2
t001152	go	go	36	4	2	-4
t001153	go	go	37	16	9	2
t001154	go	go	11	14	6	2
t001155	go	go	10	16	2	2
t001156	go	go	10	12	1	3
t001157	go	go	7	2	1	1
t001158	go	go	14	1	0	1
t001159	go	go	22	-1	1	0
t001160	go	go	34	2	3	4
t001161	go	go	45	4	6	2
t001162	go	go	10	5	0	0
t001163	go	go	29	7	5	4
t001164	go	go	40	6	7	3
t001165	go	go	45	5	10	4
t001166	go	go	21	3	6	2
t001167	go	go	36	6	21	6
t001168	go	go	55	11	9	10
t001169	go	go	19	3	-1	-1
t001170	go	go	22	6	3	2
t001171	go	go	16	1	-1	-1
t001172	go	go	7	0	-2	1
t001173	go	go	36	-4	15	-1
t001174	go	go	28	6	0	1
t001175	go	go	18	2	4	0
t001176	go	go	10	2	-2	0
t001177	go	go	12	4	0	0
t001178	go	go	21	0	3	1
t001179	go	go	52	1	3	-2
t001180	go	go	25	3	3	2
t001181	go	go	27	5	1	1
t001182	go	go	24	1	1	0
t001183	go	go	15	5	2	1
t001184	go	go	21	1	-4	2
t001185	go	go	61	14	6	12
t001186	go	go	16	1	-3	0
t001187	go	go	32	24	7	10
t001188	go	go	21	5	4	1
t001189	go	go	14	14	4	-2
t001190	go	go	28	17	2	2
t001191	go	go	25	3	4	2
t001192	go	go	19	7	3	2
t001193	go	go	21	4	2	2
t001194	go	go	32	5	5	2
t001195	go	go	10	1	4	-2
t001196	go	go	20	1	1	0
t001197	go	go	17	5	15	3
t001198	go	go	31	16	34	3
t001199	go	go	11	3	10	1
t001200	go	go	17	6	15	3
t001201	go	go	23	1	17	1
t001202	go	go	20	11	14	3
t001203	go	go	23	5	31	1
t001204	go	go	13	8	8	2
t001205	go	go	15	5	26	4
t001206	go	go	6	1	8	2
t001207	go	go	24	8	40	3
t001208	go	go	3	1	12	1
t001209	go	go	9	4	26	4
t001210	go	go	18	3	45	7
t001211	go	go	2	1	12	0
t001212	go	go	16	6	31	4
t001213	go	go	37	-3	29	10
t001214	go	go	2	0	10	1
t001215	go	go	20	-6	38	2
t001216	go	go	52	-3	52	4
t001217	go	go	2	0	8	0
t001218	go	go	19	2	33	2
t001219	go	go	48	7	56	13
t001220	go	go	2	0	6	1
t001221	go	go	12	4	30	2
t001222	go	go	29	8	25	1
t001223	go	go	10	0	12	0
t001224	go	go	42	29	21	18
t001225	go	go	14	7	6	5
t001226	go	go	10	16	6	1
t001227	go	go	60	20	14	5
t001228	go	go	21	14	4	2
t001229	go	go	2	-4	9	15
t001230	go	go	12	20	6	2
t001231	go	go	18	12	13	4
t001232	go	go	13	12	12	2
t001233	ma	ma	27	2	4	1
t001234	ma	ma	24	-1	3	4
t001235	ma	ma	12	-2	3	0
t001236	ma	ma	15	-1	5	1
t001237	ma	ma	20	2	0	0
t001238	ma	ma	12	2	0	-1
t001239	ma	ma	26	9	2	2
t001240	ma	ma	33	14	5	7
t001241	ma	ma	10	7	1	1
t001242	ma	ma	19	3	2	2
t001243	ma	ma	18	1	8	-1
t001244	ma	ma	18	2	4	2
t001245	ma	ma	19	2	6	1
t001246	ma	ma	19	0	7	3
t001247	ma	ma	12	2	4	-2
t001248	ma	ma	74	18	21	10
t001249	ma	ma	4	4	1	4
t001250	ma	ma	9	2	4	2
t001251	ma	ma	24	9	11	-1
t001252	ma	ma	14	4	11	4
t001253	ma	ma	24	10	7	1
t001254	ma	ma	10	1	2	3
t001255	ma	ma	27	4	0	0
t001256	ma	ma	8	4	0	0
t001257	ma	ma	39	5	6	4
t001258	ma	ma	32	3	6	1
t001259	ma	ma	36	2	4	3
t001260	ma	ma	16	3	6	1
t001261	ma	ma	19	6	4	3
t001262	ma	ma	18	4	3	2
t001263	ma	ma	22	4	3	0
t001264	ma	ma	18	0	2	3
t001265	ma	ma	29	0	9	2
t001266	ma	ma	11	1	1	-2
t001267	ma	ma	27	4	3	2
t001268	ma	ma	16	3	5	0
t001269	ma	ma	33	4	2	1
t001270	ma	ma	18	3	3	2
t001271	ma	ma	30	5	2	-3
t001272	ma	ma	35	3	6	3
t001273	ma	ma	24	11	1	-1
t001274	ma	ma	26	0	7	2
t001275	ma	ma	7	0	1	2
t001276	ma	ma	31	2	6	2
t001277	ma	ma	45	5	7	0
t001278	ma	ma	24	3	6	0
t001279	ma	ma	13	3	2	1
t001280	ma	ma	28	3	3	-3
t001281	ma	ma	20	3	2	2
t001282	ma	ma	45	1	5	4
t001283	ma	ma	42	4	18	13
t001284	ma	ma	24	5	5	15
t001285	ma	ma	46	4	7	7
t001286	ma	ma	33	2	9	-2
t001287	ma	ma	32	8	7	21
t001288	ma	ma	31	8	8	3
t001289	ma	ma	43	3	3	0
t001290	ma	ma	18	9	3	5
t001291	ma	ma	33	10	2	13
t001292	ma	ma	11	1	4	5
t001293	ma	ma	24	3	7	2
t001294	ma	ma	13	4	4	-1
t001295	ma	ma	4	4	0	2
t001296	ma	ma	20	29	10	12
t001297	ma	ma	17	16	10	10
t001298	ma	ma	15	14	2	10
t001299	ma	ma	7	4	2	4
t001300	ma	ma	34	22	7	4
t001301	ma	ma	25	8	10	16
t001302	ma	ma	7	7	2	7
t001303	ma	ma	9	13	4	9
t001304	ma	ma	21	15	3	6
t001305	ma	ma	15	17	6	3
t001306	ma	ma	19	25	3	1
t001307	ma	ma	12	5	5	2
t001308	ma	ma	31	10	1	7
t001309	ma	ma	25	17	4	5
t001310	ma	ma	12	18	5	7
t001311	ma	ma	19	14	2	4
t001312	ma	ma	22	6	3	3
t001313	ma	ma	24	6	9	-1
t001314	ma	ma	26	7	9	-3
t001315	ma	ma	26	4	5	-1
t001316	ma	ma	19	7	5	0
t001317	ma	ma	13	2	5	0
t001318	ma	ma	58	4	4	3
t001319	ma	ma	12	23	7	4
t001320	ma	ma	12	23	3	1
t001321	ma	ma	29	17	1	0
t001322	ma	ma	6	7	0	1
t001323	ma	ma	15	13	2	0
t001324	ma	ma	42	26	6	3
t001325	ma	ma	13	5	5	3
t001326	ma	ma	84	21	17	11
t001327	ma	ma	37	3	2	1
t001328	ma	ma	53	4	8	3
t001329	ma	ma	19	1	3	1
t001330	ma	ma	75	11	9	0
t001331	ma	ma	44	14	7	5
t001332	ma	ma	51	12	15	10
t001333	ma	ma	18	1	0	0
t001334	ma	ma	4	12	0	0
t001335	ma	ma	25	22	9	4
t001336	ma	ma	34	22	8	-2
t001337	ma	ma	21	19	5	-3
t001338	ma	ma	36	26	2	4
t001339	ma	ma	50	12	4	5
t001340	ma	ma	47	11	14	3
t001341	ma	ma	53	8	6	6
t001342	ma	ma	60	16	6	8
t001343	ma	ma	24	17	8	0
t001344	ma	ma	26	22	6	-5
t001345	ma	ma	14	31	1	1
t001346	ma	ma	16	15	0	1
t001347	ma	ma	27	41	4	6
t001348	ma	ma	13	25	4	0
t001349	ma	ma	24	31	2	0
t001350	ma	ma	17	27	5	-1
t001351	ma	ma	8	22	2	1
t001352	ma	ma	48	32	13	1
t001353	ma	ma	33	18	8	1
t001354	ma	ma	7	8	11	3
t001355	ma	ma	31	24	29	5
t001356	ma	ma	12	11	26	2
t001357	ma	ma	10	3	22	4
t001358	ma	ma	5	0	19	1
t001359	ma	ma	8	-1	19	1
t001360	ma	ma	2	0	12	0
t001361	ma	ma	8	1	9	0
t001362	ma	ma	12	3	13	0
t001363	ma	ma	12	13	5	5
t001364	ma	ma	21	8	6	4
t001365	ma	ma	19	12	11	22
t001366	ma	ma	27	11	5	0
t001367	ma	ma	39	6	7	8
t001368	ma	ma	22	3	2	3
t001369	ma	ma	25	6	13	0
t001370	ma	ma	25	11	3	-1
t001371	ma	ma	20	14	3	9
t001372	ma	ma	23	14	4	1
t001373	ma	ma	29	6	6	6
t001374	ma	ma	34	14	16	6
t001375	ma	ma	31	27	8	9
t001376	ma	ma	6	11	7	7
t001377	ma	ma	10	4	3	5
t001378	ma	ma	13	10	7	6
t001379	mg	mg	13	4	3	2
t001380	mg	mg	15	1	0	0
t001381	mg	mg	4	3	1	1
t001382	mg	mg	21	2	5	2
t001383	mg	mg	25	4	4	6
t001384	mg	mg	22	5	7	7
t001385	mg	mg	15	2	1	5
t001386	mg	mg	14	5	4	3
t001387	mg	mg	16	1	2	0
t001388	mg	mg	18	0	2	2
t001389	mg	mg	21	2	2	0
t001390	mg	mg	13	0	4	2
t001391	mg	mg	7	0	1	1
t001392	mg	mg	19	5	3	1
t001393	mg	mg	25	6	1	4
t001394	mg	mg	25	2	4	4
t001395	mg	mg	29	1	2	3
t001396	mg	mg	25	4	6	-3
t001397	mg	mg	18	10	3	1
t001398	mg	mg	12	0	3	0
t001399	mg	mg	18	2	2	0
t001400	mg	mg	11	1	0	0
t001401	mg	mg	16	2	4	2
t001402	mg	mg	17	4	10	0
t001403	mg	mg	15	0	8	3
t001404	mg	mg	19	3	5	1
t001405	mg	mg	14	1	5	0
t001406	mg	mg	24	1	6	2
t001407	mg	mg	12	2	10	9
t001408	mg	mg	12	1	2	3
t001409	mg	mg	11	0	1	2
t001410	mg	mg	15	2	2	5
t001411	mg	mg	23	6	1	6
t001412	mg	mg	10	3	2	5
t001413	mg	mg	10	6	4	5
t001414	mg	mg	7	2	3	7
t001415	mg	mg	13	2	0	2
t001416	mg	mg	15	2	5	4
t001417	mg	mg	12	3	2	4
t001418	mg	mg	11	1	5	2
t001419	mg	mg	4	1	3	5
t001420	mg	mg	21	2	3	-1
t001421	mg	mg	20	20	11	4
t001422	mg	mg	20	4	5	1
t001423	mg	mg	27	8	7	2
t001424	mg	mg	15	7	3	3
t001425	mg	mg	11	1	2	2
t001426	mg	mg	5	3	3	1
t001427	mg	mg	14	0	4	0
t001428	mg	mg	13	10	4	0
t001429	mg	mg	8	3	0	0
t001430	mg	mg	18	2	3	2
t001431	mg	mg	20	1	5	-2
t001432	mg	mg	9	3	2	0
t001433	mg	mg	17	6	2	2
t001434	mg	mg	15	7	3	0
t001435	mg	mg	22	7	6	3
t001436	mg	mg	9	4	7	3
t001437	mg	mg	11	1	4	1
t001438	mg	mg	6	1	6	1
t001439	mg	mg	9	3	4	4
t001440	mg	mg	13	3	8	0
t001441	mg	mg	16	3	6	2
t001442	mg	mg	8	3	6	3
t001443	mg	mg	8	0	6	5
t001444	mg	mg	8	1	1	2
t001445	mg	mg	10	1	2	0
t001446	mg	mg	10	3	0	0
t001447	mg	mg	13	2	0	1
t001448	mg	mg	12	8	2	0
t001449	mg	mg	29	3	3	3
t001450	mg	mg	14	3	3	0
t001451	mg	mg	14	1	4	0
t001452	mg	mg	16	-1	1	3
t001453	mg	mg	31	2	6	0
t001454	mg	mg	7	0	0	0
t001455	mg	mg	15	2	1	1
t001456	mg	mg	14	-1	5	1
t001457	mg	mg	17	-2	9	1
t001458	mg	mg	12	2	8	0
t001459	mg	mg	16	2	4	0
t001460	mg	mg	26	1	4	1
t001461	mg	mg	25	3	6	3
t001462	mg	mg	19	4	5	1
t001463	mg	mg	25	3	4	2
t001464	mg	mg	35	1	9	1
t001465	mg	mg	12	-2	3	1
t001466	mg	mg	9	-2	1	1
t001467	mg	mg	21	-1	5	0
t001468	mg	mg	24	-1	6	1
t001469	mg	mg	34	1	3	0
t001470	mg	mg	10	6	13	1
t001471	mg	mg	7	-2	6	0
t001472	mg	mg	12	-1	4	0
t001473	mg	mg	13	4	0	1
t001474	mg	mg	26	-2	1	0
t001475	mg	mg	16	-2	1	2
t001476	mg	mg	12	-2	0	0
t001477	mg	mg	14	4	5	0
t001478	mg	mg	13	6	3	-1
t001479	mg	mg	17	3	5	0
t001480	mg	mg	33	3	6	2
t001481	mg	mg	12	2	4	-2
t001482	mg	mg	31	1	2	0
t001483	mg	mg	12	3	4	0
t001484	mg	mg	21	0	4	0
t001485	mg	mg	11	17	3	2
t001486	mg	mg	19	26	6	8
t001487	mg	mg	5	10	7	2
t001488	mg	mg	14	15	1	3
t001489	mg	mg	30	14	8	0
t001490	mg	mg	11	7	2	1
t001491	mg	mg	10	5	6	4
t001492	mg	mg	10	6	2	3
t001493	mg	mg	11	3	1	5
t001494	mg	mg	18	10	3	1
t001495	mg	mg	11	6	2	1
t001496	mg	mg	10	9	3	0
t001497	mg	mg	51	11	11	0
t001498	mg	mg	23	6	2	-3
t001499	mg	mg	20	4	2	0
t001500	mg	mg	17	3	1	1
t001501	mg	mg	13	0	1	0
t001502	mg	mg	12	9	1	6
t001503	mg	mg	12	14	2	1
t001504	mg	mg	19	3	1	0
t001505	mg	mg	22	5	9	8
t001506	mg	mg	15	11	3	1
t001507	mg	mg	15	11	3	1
t001508	mg	mg	25	10	2	2
t001509	mg	mg	27	8	0	1
t001510	mg	mg	14	2	0	2
t001511	mg	mg	22	2	5	-3
t001512	mg	mg	7	2	2	0
t001513	mg	mg	15	11	7	6
t001514	mg	mg	8	2	2	4
t001515	mg	mg	20	6	5	1
t001516	mg	mg	12	3	1	2
t001517	mg	mg	13	10	5	1
t001518	mg	mg	15	5	2	4
t001519	mg	mg	18	1	1	0
t001520	mg	mg	12	11	1	1
t001521	mg	mg	9	5	2	3
t001522	mg	mg	17	2	2	1
t001523	mg	mg	31	0	4	0
t001524	mg	mg	23	3	2	1
t001525	mg	mg	9	4	1	1
t001526	mg	mg	17	-1	0	2
t001527	mg	mg	9	-1	3	1
t001528	mg	mg	9	-1	1	2
t001529	mg	mg	26	0	4	0
t001530	mg	mg	9	1	1	0
t001531	mg	mg	28	2	4	0
t001532	mg	mg	11	3	5	0
t001533	mg	mg	5	3	2	0
t001534	mg	mg	11	2	4	-1
t001535	mg	mg	9	2	4	3
t001536	mg	mg	33	9	7	0
t001537	mg	mg	16	8	6	0
t001538	mg	mg	21	3	3	0
t001539	mg	mg	17	1	1	-2
t001540	mg	mg	27	8	0	0
t001541	mg	mg	10	3	1	0
t001542	mg	mg	15	2	1	-1
t001543	mg	mg	34	2	8	-1
t001544	mg	mg	13	3	2	0
t001545	mg	mg	23	14	0	4
t001546	mg	mg	27	3	3	0
t001547	mg	mg	19	1	5	1
t001548	mg	mg	20	3	1	0
t001549	mg	mg	31	8	9	8
t001550	mg	mg	28	6	3	2
t001551	mg	mg	39	14	4	2
t001552	mg	mg	39	4	3	1
t001553	mg	mg	20	1	4	0
t001554	mg	mg	30	1	3	2
t001555	mg	mg	49	16	7	4
t001556	mg	mg	32	12	2	3
t001557	mg	mg	38	12	5	2
t001558	mg	mg	25	2	1	5
t001559	mg	mg	18	0	2	0
t001560	mg	mg	18	12	2	4
t001561	mg	mg	57	12	7	7
t001562	mg	mg	19	5	1	2
t001563	mg	mg	25	5	0	4
t001564	mg	mg	55	10	4	6
t001565	mg	mg	25	11	2	2
t001566	mg	mg	19	5	1	-1
t001567	mg	mg	24	21	2	2
t001568	mg	mg	9	21	4	0
t001569	mg	mg	16	15	5	0
t001570	mg	mg	11	15	3	0
t001571	mg	mg	24	13	5	1
t001572	mg	mg	30	7	1	0
t001573	mg	mg	16	23	3	3
t001574	mg	mg	2	12	2	0
t001575	mg	mg	14	14	4	-3
t001576	mg	mg	15	6	1	0
t001577	mg	mg	11	6	1	0
t001578	mg	mg	30	10	3	-2
t001579	mg	mg	35	17	9	6
t001580	mg	mg	32	13	7	2
t001581	mg	mg	37	11	10	1
t001582	mg	mg	32	11	6	4
t001583	mg	mg	19	6	5	8
t001584	mg	mg	15	6	1	1
t001585	mg	mg	24	10	6	1
t001586	mg	mg	20	5	3	5
t001587	mg	mg	13	30	3	1
t001588	mg	mg	19	28	5	1
t001589	mg	mg	29	26	4	5
t001590	mg	mg	5	14	0	2
t001591	mg	mg	13	11	2	0
t001592	mg	mg	19	15	1	-2
t001593	mg	mg	5	10	1	0
t001594	mg	mg	4	16	0	1
t001595	mg	mg	11	14	2	-1
t001596	mg	mg	6	12	1	1
t001597	mg	mg	28	7	7	-1
t001598	mg	mg	12	7	1	0
t001599	mg	mg	15	16	3	4
t001600	mg	mg	29	17	4	7
t001601	mg	mg	23	13	4	4
t001602	mg	mg	23	24	10	12
t001603	mg	mg	6	13	4	5
t001604	mg	mg	9	5	4	6
t001605	mg	mg	12	7	4	10
t001606	mg	mg	7	11	2	9
t001607	mg	mg	5	9	2	11
t001608	mg	mg	22	20	4	14
t001609	mg	mg	16	22	7	5
t001610	mg	mg	11	4	2	1
t001611	mg	mg	16	10	2	2
t001612	mg	mg	13	4	1	0
