lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
senso 8 356 53.69 89.83 13.19 2.46 -50.36 NOTKW
consumo 9 390 60.4 98.41 14.46 2.46 -47.86 NOTKW
criar 39 1324 261.74 334.09 49.39 2.44 -24.28 NOTKW
inscrever 5 59 33.56 14.89 2.32 2.44 77.07 NOTKW
solicitar 5 59 33.56 14.89 2.32 2.44 77.07 NOTKW
caber 24 868 161.07 219.03 32.32 2.43 -30.49 NOTKW
teatro 13 215 87.25 54.25 8.26 2.41 46.64 NOTKW
fortalecer 13 520 87.25 131.21 19.31 2.41 -40.25 NOTKW
superação 9 388 60.4 97.91 14.39 2.4 -47.38 NOTKW
preciso 25 897 167.79 226.34 33.41 2.4 -29.72 NOTKW
exploração 22 410 147.65 103.46 15.65 2.38 35.2 NOTKW
circulação 14 237 93.96 59.8 9.1 2.37 44.43 NOTKW
oferecer 25 895 167.79 225.84 33.34 2.36 -29.5 NOTKW
virtude 5 60 33.56 15.14 2.36 2.35 75.64 NOTKW
corpo 18 677 120.81 170.83 25.18 2.35 -34.31 NOTKW
construir 64 2056 429.53 518.8 76.82 2.35 -18.83 NOTKW
realizar 46 1526 308.72 385.06 56.96 2.34 -22.01 NOTKW
teste 6 78 40.27 19.68 3.04 2.34 68.68 NOTKW
materialização 6 78 40.27 19.68 3.04 2.34 68.68 NOTKW
global 24 862 161.07 217.51 32.1 2.32 -29.82 NOTKW
criativo 23 831 154.36 209.69 30.95 2.32 -30.4 NOTKW
respectivo 22 412 147.65 103.96 15.73 2.32 34.73 NOTKW
pronto 7 97 46.98 24.48 3.77 2.31 62.99 NOTKW
temporalidade 7 97 46.98 24.48 3.77 2.31 62.99 NOTKW
experimentação 8 351 53.69 88.57 13.01 2.31 -49.03 NOTKW
expor 5 246 33.56 62.07 9.1 2.28 -59.64 NOTKW
desempenho 7 316 46.98 79.74 11.7 2.28 -51.7 NOTKW
instituir 20 369 134.23 93.11 14.1 2.28 36.17 NOTKW
colaborador 5 61 33.56 15.39 2.39 2.27 74.22 NOTKW
enfatizar 10 416 67.11 104.97 15.44 2.26 -44.0 NOTKW
escolha 27 950 181.21 239.72 35.4 2.25 -27.8 NOTKW
conexão 12 481 80.54 121.37 17.86 2.25 -40.45 NOTKW
teórico 15 577 100.67 145.6 21.45 2.24 -36.49 NOTKW
dado 20 734 134.23 185.21 27.32 2.24 -31.92 NOTKW
evidenciar 13 513 87.25 129.45 19.06 2.24 -38.95 NOTKW
sonoro 14 241 93.96 60.81 9.24 2.21 42.83 NOTKW
escolarização 8 347 53.69 87.56 12.86 2.2 -47.96 NOTKW
iniciar 13 511 87.25 128.94 18.99 2.2 -38.57 NOTKW
língua 18 669 120.81 168.81 24.89 2.19 -33.15 NOTKW
relativo 27 529 181.21 133.48 20.15 2.19 30.33 NOTKW
regime 5 243 33.56 61.32 8.99 2.18 -58.52 NOTKW
personagem 7 99 46.98 24.98 3.84 2.18 61.14 NOTKW
moral 5 243 33.56 61.32 8.99 2.18 -58.52 NOTKW
nacional 47 1543 315.44 389.35 57.61 2.16 -20.98 NOTKW
terra 6 277 40.27 69.9 10.25 2.14 -53.79 NOTKW
ficar 6 277 40.27 69.9 10.25 2.14 -53.79 NOTKW
procedimental 6 81 40.27 20.44 3.15 2.13 65.33 NOTKW
climático 6 81 40.27 20.44 3.15 2.13 65.33 NOTKW
conceitual 12 476 80.54 120.11 17.68 2.13 -39.45 NOTKW
universo 14 540 93.96 136.26 20.07 2.13 -36.75 NOTKW
autoavaliação 7 100 46.98 25.23 3.88 2.12 60.23 NOTKW
exemplo 35 1184 234.9 298.76 44.17 2.12 -23.93 NOTKW
ciência 36 1213 241.61 306.08 45.26 2.11 -23.54 NOTKW
ativo 23 820 154.36 206.91 30.55 2.11 -29.09 NOTKW
crescimento 5 241 33.56 60.81 8.91 2.11 -57.76 NOTKW
proposta 57 1832 382.55 462.28 68.45 2.1 -18.87 NOTKW
campo 53 1715 355.7 432.75 64.06 2.1 -19.54 NOTKW
matemático 11 442 73.83 111.53 16.41 2.09 -40.68 NOTKW
natureza 47 1538 315.44 388.09 57.43 2.09 -20.65 NOTKW
distinto 17 633 114.09 159.73 23.55 2.09 -33.33 NOTKW
visão 29 1001 194.63 252.59 37.32 2.08 -25.92 NOTKW
visar 37 1241 248.32 313.15 46.31 2.08 -23.09 NOTKW
étnico-racial 13 223 87.25 56.27 8.55 2.08 43.17 NOTKW
período 31 626 208.05 157.96 23.81 2.06 27.37 NOTKW
professor(a) 5 64 33.56 16.15 2.5 2.03 70.04 NOTKW
sugestão 16 289 107.38 72.92 11.05 2.03 38.22 NOTKW
noção 12 471 80.54 118.85 17.5 2.01 -38.43 NOTKW
norma 9 373 60.4 94.12 13.84 2.0 -43.64 NOTKW
rede 34 1146 228.19 289.17 42.76 2.0 -23.58 NOTKW
inspirar 6 83 40.27 20.94 3.22 1.99 63.14 NOTKW
absoluto 6 83 40.27 20.94 3.22 1.99 63.14 NOTKW
priorizar 6 83 40.27 20.94 3.22 1.99 63.14 NOTKW
produto 11 438 73.83 110.52 16.27 1.99 -39.81 NOTKW
sobrevivência 6 83 40.27 20.94 3.22 1.99 63.14 NOTKW
político-pedagógico 8 122 53.69 30.78 4.71 1.98 54.23 NOTKW
âmbito 29 995 194.63 251.07 37.11 1.98 -25.33 NOTKW
problema 40 1323 268.46 333.84 49.39 1.98 -21.71 NOTKW
variado 9 372 60.4 93.87 13.81 1.97 -43.39 NOTKW
capacidade 42 1381 281.88 348.47 51.56 1.96 -21.13 NOTKW
