lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
globalizado 6 173 88.24 42.78 2.96 2.45 69.39 NOTKW
ético 29 1268 426.47 313.55 21.45 2.44 30.52 NOTKW
ouvir 8 257 117.65 63.55 4.38 2.44 59.71 NOTKW
diverso 13 1160 191.18 286.84 19.4 2.43 -40.03 NOTKW
unidas 3 61 44.12 15.08 1.06 2.43 98.08 NOTKW
perguntar 3 61 44.12 15.08 1.06 2.43 98.08 NOTKW
anseio 7 215 102.94 53.17 3.67 2.43 63.77 NOTKW
encaminhar 4 96 58.82 23.74 1.65 2.43 84.99 NOTKW
permitir 37 1679 544.12 415.18 28.38 2.43 26.88 NOTKW
balizar 3 61 44.12 15.08 1.06 2.43 98.08 NOTKW
cne/ceb 11 391 161.76 96.69 6.65 2.42 50.36 NOTKW
antes 11 391 161.76 96.69 6.65 2.42 50.36 NOTKW
falar 13 484 191.18 119.68 8.22 2.41 46.0 NOTKW
ganhar 3 390 44.12 96.44 6.5 2.39 -74.45 NOTKW
redação 4 97 58.82 23.99 1.67 2.38 84.14 NOTKW
idioma 4 97 58.82 23.99 1.67 2.38 84.14 NOTKW
contextualizada 9 303 132.35 74.93 5.16 2.38 55.41 NOTKW
visita 4 97 58.82 23.99 1.67 2.38 84.14 NOTKW
específico 43 1997 632.35 493.82 33.74 2.38 24.6 NOTKW
distanciar 3 62 44.12 15.33 1.07 2.37 96.84 NOTKW
parcela 3 62 44.12 15.33 1.07 2.37 96.84 NOTKW
potencial 11 394 161.76 97.43 6.7 2.36 49.64 NOTKW
descobrir 9 304 132.35 75.17 5.18 2.36 55.11 NOTKW
fundamental 52 2475 764.71 612.02 41.79 2.36 22.18 NOTKW
estruturante 14 534 205.88 132.05 9.06 2.35 43.7 NOTKW
fronteira 7 218 102.94 53.91 3.72 2.34 62.52 NOTKW
catálogo 4 98 58.82 24.23 1.69 2.34 83.29 NOTKW
implementar 8 261 117.65 64.54 4.45 2.33 58.3 NOTKW
base 45 2109 661.76 521.51 35.62 2.32 23.71 NOTKW
extremamente 3 63 44.12 15.58 1.09 2.31 95.61 NOTKW
converter 3 63 44.12 15.58 1.09 2.31 95.61 NOTKW
alinhar 13 490 191.18 121.17 8.32 2.29 44.83 NOTKW
mudança 26 1128 382.35 278.93 19.08 2.29 31.28 NOTKW
tarefa 12 445 176.47 110.04 7.56 2.26 46.37 NOTKW
questão 32 1437 470.59 355.34 24.29 2.26 27.91 NOTKW
urgência 3 64 44.12 15.83 1.11 2.25 94.39 NOTKW
transformação 28 1234 411.76 305.14 20.87 2.24 29.74 NOTKW
caderno 4 100 58.82 24.73 1.72 2.24 81.62 NOTKW
estudar 15 588 220.59 145.4 9.97 2.24 41.09 NOTKW
diferenciado 4 100 58.82 24.73 1.72 2.24 81.62 NOTKW
claro 10 354 147.06 87.54 6.02 2.24 50.74 NOTKW
industrial 4 100 58.82 24.73 1.72 2.24 81.62 NOTKW
vista 16 1356 235.29 335.31 22.69 2.23 -35.06 NOTKW
incorporação 5 139 73.53 34.37 2.38 2.23 72.58 NOTKW
conteúdo 32 1443 470.59 356.82 24.39 2.2 27.5 NOTKW
norma 3 379 44.12 93.72 6.32 2.2 -71.97 NOTKW
explicar 12 448 176.47 110.78 7.61 2.2 45.74 NOTKW
supracitado 3 65 44.12 16.07 1.12 2.19 93.19 NOTKW
abordagem 12 1066 176.47 263.6 17.83 2.19 -39.6 NOTKW
o(a) 3 65 44.12 16.07 1.12 2.19 93.19 NOTKW
acordo 31 1392 455.88 344.21 23.53 2.19 27.91 NOTKW
normal 3 65 44.12 16.07 1.12 2.19 93.19 NOTKW
metade 3 65 44.12 16.07 1.12 2.19 93.19 NOTKW
variado 3 378 44.12 93.47 6.3 2.18 -71.74 NOTKW
recomendar 6 181 88.24 44.76 3.09 2.18 65.38 NOTKW
socioemocional 11 403 161.76 99.65 6.85 2.17 47.52 NOTKW
física 13 497 191.18 122.9 8.43 2.16 43.48 NOTKW
motivação 5 141 73.53 34.87 2.41 2.16 71.34 NOTKW
aberto 4 102 58.82 25.22 1.75 2.15 79.96 NOTKW
cunho 4 102 58.82 25.22 1.75 2.15 79.96 NOTKW
mudar 7 225 102.94 55.64 3.84 2.14 59.66 NOTKW
diferenciar 5 538 73.53 133.04 8.98 2.13 -57.62 NOTKW
afastar 3 66 44.12 16.32 1.14 2.13 91.99 NOTKW
estrangeiro 6 183 88.24 45.25 3.13 2.12 64.4 NOTKW
método 13 499 191.18 123.39 8.47 2.12 43.1 NOTKW
formador 4 103 58.82 25.47 1.77 2.11 79.14 NOTKW
implementação 14 549 205.88 135.76 9.31 2.08 41.05 NOTKW
delimitação 3 67 44.12 16.57 1.16 2.08 90.8 NOTKW
documento 20 1618 294.12 400.1 27.09 2.07 -30.53 NOTKW
terra 3 372 44.12 91.99 6.2 2.07 -70.34 NOTKW
homem 12 455 176.47 112.51 7.72 2.06 44.26 NOTKW
observar 13 1126 191.18 278.44 18.84 2.06 -37.16 NOTKW
visar 28 1250 411.76 309.1 21.13 2.06 28.48 NOTKW
vida 54 2621 794.12 648.12 44.24 2.05 20.25 NOTKW
ausência 4 105 58.82 25.96 1.8 2.03 77.51 NOTKW
educacional 31 1409 455.88 348.42 23.81 2.02 26.72 NOTKW
nações 3 68 44.12 16.82 1.17 2.02 89.62 NOTKW
infantil 13 1121 191.18 277.2 18.75 2.01 -36.73 NOTKW
provocar 3 367 44.12 90.75 6.12 1.99 -69.15 NOTKW
investir 4 106 58.82 26.21 1.82 1.99 76.7 NOTKW
história 32 1463 470.59 361.77 24.72 1.99 26.15 NOTKW
bncc 44 2095 647.06 518.05 35.37 1.99 22.15 NOTKW
fortalecer 5 528 73.53 130.56 8.81 1.99 -55.89 NOTKW
música 4 449 58.82 111.03 7.49 1.99 -61.47 NOTKW
configuração 5 146 73.53 36.1 2.5 1.98 68.28 NOTKW
preferencialmente 5 146 73.53 36.1 2.5 1.98 68.28 NOTKW
basilar 3 69 44.12 17.06 1.19 1.97 88.45 NOTKW
gramático 3 69 44.12 17.06 1.19 1.97 88.45 NOTKW
reformulação 3 69 44.12 17.06 1.19 1.97 88.45 NOTKW
propósito 11 414 161.76 102.37 7.03 1.95 44.97 NOTKW
época 8 276 117.65 68.25 4.7 1.95 53.15 NOTKW
habilitação 4 107 58.82 26.46 1.84 1.95 75.9 NOTKW
produtivo 12 462 176.47 114.24 7.84 1.93 42.81 NOTKW
investigar 11 415 161.76 102.62 7.04 1.93 44.74 NOTKW
técnico 19 805 279.41 199.06 13.63 1.92 33.59 NOTKW
caracterizar 6 600 88.24 148.37 10.02 1.91 -50.83 NOTKW
pública 4 108 58.82 26.71 1.85 1.91 75.1 NOTKW
concreto 4 443 58.82 109.55 7.39 1.9 -60.25 NOTKW
avaliar 18 757 264.71 187.19 12.82 1.9 34.31 NOTKW
artístico 9 822 132.35 203.26 13.74 1.89 -42.26 NOTKW
evidenciar 5 521 73.53 128.83 8.7 1.89 -54.66 NOTKW
oferta 18 758 264.71 187.44 12.83 1.88 34.18 NOTKW
jornalístico-midiático 3 71 44.12 17.56 1.22 1.87 86.13 NOTKW
elevar 4 109 58.82 26.95 1.87 1.87 74.31 NOTKW
intencionalmente 4 109 58.82 26.95 1.87 1.87 74.31 NOTKW
denominar 8 280 117.65 69.24 4.76 1.86 51.81 NOTKW
interesse 28 1272 411.76 314.54 21.5 1.83 26.77 NOTKW
permanentemente 3 72 44.12 17.8 1.24 1.82 84.99 NOTKW
criticar 3 72 44.12 17.8 1.24 1.82 84.99 NOTKW
abstrato 5 151 73.53 37.34 2.58 1.82 65.28 NOTKW
tradição 4 438 58.82 108.31 7.31 1.82 -59.22 NOTKW
acumular 5 151 73.53 37.34 2.58 1.82 65.28 NOTKW
cidade 8 282 117.65 69.73 4.8 1.82 51.14 NOTKW
texto 22 966 323.53 238.87 16.34 1.8 30.11 NOTKW
exercício 27 1223 397.06 302.42 20.67 1.8 27.06 NOTKW
subjetividade 6 195 88.24 48.22 3.32 1.77 58.65 NOTKW
criatividade 13 520 191.18 128.59 8.81 1.77 39.15 NOTKW
lazer 6 195 88.24 48.22 3.32 1.77 58.65 NOTKW
república 3 73 44.12 18.05 1.26 1.77 83.86 NOTKW
fiscal 3 73 44.12 18.05 1.26 1.77 83.86 NOTKW
nascimento 4 112 58.82 27.7 1.92 1.75 71.96 NOTKW
indicador 5 153 73.53 37.83 2.61 1.75 64.11 NOTKW
